year,harvest,block,treatment,group,biomass_g,biog
2016,Mid,D,Drought,Forbs,206.8,51.7
2016,Mid,D,Drought,Graminoids,202.8,50.7
2016,Mid,D,Drought,Legumes,21.2,5.3
2016,Mid,D,Drought,Woody,4,1
2016,Mid,D,Irrigated,Bryophytes,2.8,0.7
2016,Mid,D,Irrigated,Dead,8,2
2016,Mid,D,Irrigated,Forbs,56,14
2016,Mid,D,Irrigated,Graminoids,270.8,67.7
2016,Mid,D,Irrigated,Legumes,9.6,2.4
2016,Mid,D,Irrigated,Woody,1.6,0.4
2016,Mid,E,Ambient,Bryophytes,10,2.5
2016,Mid,E,Ambient,Dead,28.8,7.2
2016,Mid,E,Ambient,Forbs,41.6,10.4
2016,Mid,E,Ambient,Graminoids,172,43
2016,Mid,E,Ambient,Legumes,12.8,3.2
2016,Mid,E,Ambient,Woody,9.2,2.3
2016,Mid,E,Procedural,Bryophytes,4,1
2016,Mid,E,Procedural,Dead,5.2,1.3
2016,Mid,E,Procedural,Forbs,34,8.5
2016,Mid,E,Procedural,Graminoids,102.8,25.7
2016,Mid,E,Procedural,Legumes,73.6,18.4
2016,Mid,E,Procedural,Woody,0,0
2016,Mid,E,Drought,Bryophytes,2,0.5
2016,Mid,E,Drought,Dead,8,2
2016,Mid,E,Drought,Forbs,56,14
2016,Mid,E,Drought,Graminoids,259.2,64.8
2016,Mid,E,Drought,Legumes,53.6,13.4
2016,Mid,E,Drought,Woody,109.2,27.3
2016,Mid,E,Irrigated,Bryophytes,2.8,0.7
2016,Mid,E,Irrigated,Dead,9.6,2.4
2016,Mid,E,Irrigated,Forbs,25.2,6.3
2016,Mid,E,Irrigated,Graminoids,206.4,51.6
2016,Mid,E,Irrigated,Legumes,8,2
2016,Mid,E,Irrigated,Woody,0,0
2016,End,A,Ambient,Bryophytes,1.2,0.3
2016,End,A,Ambient,Dead,22.8,5.7
2016,End,A,Ambient,Forbs,14,3.5
2016,End,A,Ambient,Graminoids,36.4,9.1
2016,End,A,Ambient,Legumes,12.8,3.2
2016,End,A,Ambient,Woody,0,0
2016,End,A,Procedural,Bryophytes,4,1
2016,End,A,Procedural,Dead,6.8,1.7
2016,End,A,Procedural,Forbs,5.6,1.4
2016,End,A,Procedural,Graminoids,8.8,2.2
2016,End,A,Procedural,Legumes,4,1
2016,End,A,Procedural,Woody,0,0
2016,End,A,Drought,Bryophytes,2.4,0.6
2016,End,A,Drought,Dead,10,2.5
2016,End,A,Drought,Forbs,1.6,0.4
2016,End,A,Drought,Graminoids,3.2,0.8
2016,End,A,Drought,Legumes,4,1
2016,End,A,Drought,Woody,0,0
2016,End,A,Irrigated,Bryophytes,4,1
2016,End,A,Irrigated,Dead,16.8,4.2
2016,End,A,Irrigated,Forbs,1.6,0.4
2016,End,A,Irrigated,Graminoids,45.2,11.3
2016,End,A,Irrigated,Legumes,3.6,0.9
2016,End,A,Irrigated,Woody,0,0
2016,End,B,Ambient,Bryophytes,4,1
2016,End,B,Ambient,Dead,4,1
2016,End,B,Ambient,Forbs,7.6,1.9
2016,End,B,Ambient,Graminoids,51.2,12.8
2016,End,B,Ambient,Legumes,0.8,0.2
2016,End,B,Ambient,Woody,1.2,0.3
2016,End,B,Procedural,Bryophytes,4,1
2016,End,B,Procedural,Dead,4,1
2016,End,B,Procedural,Forbs,3.2,0.8
2016,End,B,Procedural,Graminoids,30.8,7.7
2016,End,B,Procedural,Legumes,4.8,1.2
2016,End,B,Procedural,Woody,0,0
2016,End,B,Drought,Bryophytes,4,1
2016,End,B,Drought,Dead,7.2,1.8
2016,End,B,Drought,Forbs,5.2,1.3
2016,End,B,Drought,Graminoids,4,1
2016,End,B,Drought,Legumes,0,0
2016,End,B,Drought,Woody,5.6,1.4
2016,End,B,Irrigated,Bryophytes,0.8,0.2
2016,End,B,Irrigated,Dead,6,1.5
2016,End,B,Irrigated,Forbs,4.8,1.2
2016,End,B,Irrigated,Graminoids,31.6,7.9
2016,End,B,Irrigated,Legumes,4,1
2016,End,B,Irrigated,Woody,10,2.5
2016,End,C,Ambient,Bryophytes,4,1
2016,End,C,Ambient,Dead,4,1
2016,End,C,Ambient,Forbs,0.8,0.2
2016,End,C,Ambient,Graminoids,38,9.5
2016,End,C,Ambient,Legumes,4.4,1.1
2016,End,C,Ambient,Woody,0,0
2016,End,C,Procedural,Bryophytes,4,1
2016,End,C,Procedural,Dead,4,1
2016,End,C,Procedural,Forbs,0.8,0.2
2016,End,C,Procedural,Graminoids,34,8.5
2016,End,C,Procedural,Legumes,6.4,1.6
2016,End,C,Procedural,Woody,10.4,2.6
2016,End,C,Drought,Bryophytes,0,0
2016,End,C,Drought,Dead,8.4,2.1
2016,End,C,Drought,Forbs,8,2
2016,End,C,Drought,Graminoids,15.6,3.9
2016,End,C,Drought,Legumes,9.6,2.4
2016,End,C,Drought,Woody,0,0
2016,End,C,Irrigated,Bryophytes,4,1
2016,End,C,Irrigated,Dead,0.8,0.2
2016,End,C,Irrigated,Forbs,2,0.5
2016,End,C,Irrigated,Graminoids,22.8,5.7
2016,End,C,Irrigated,Legumes,0.8,0.2
2016,End,C,Irrigated,Woody,0,0
2016,End,D,Ambient,Bryophytes,1.6,0.4
2016,End,D,Ambient,Dead,14.8,3.7
2016,End,D,Ambient,Forbs,8.4,2.1
2016,End,D,Ambient,Graminoids,33.2,8.3
2016,End,D,Ambient,Legumes,7.6,1.9
2016,End,D,Ambient,Woody,0,0
2016,End,D,Procedural,Bryophytes,16.8,4.2
2016,End,D,Procedural,Dead,10,2.5
2016,End,D,Procedural,Forbs,2,0.5
2016,End,D,Procedural,Graminoids,12,3
2016,End,D,Procedural,Legumes,4,1
2016,End,D,Procedural,Woody,0,0
2016,End,D,Drought,Bryophytes,0,0
2016,End,D,Drought,Dead,11.6,2.9
2016,End,D,Drought,Forbs,9.2,2.3
2016,End,D,Drought,Graminoids,4,1
2016,End,D,Drought,Legumes,4,1
2016,End,D,Drought,Woody,0,0
2016,End,D,Irrigated,Bryophytes,0,0
2016,End,D,Irrigated,Dead,38.4,9.6
2016,End,D,Irrigated,Forbs,9.2,2.3
2016,End,D,Irrigated,Graminoids,82,20.5
2016,End,D,Irrigated,Legumes,6.8,1.7
2016,End,D,Irrigated,Woody,0,0
2016,End,E,Ambient,Bryophytes,5.2,1.3
2016,End,E,Ambient,Dead,14.8,3.7
2016,End,E,Ambient,Forbs,7.2,1.8
2016,End,E,Ambient,Graminoids,30.8,7.7
2016,End,E,Ambient,Legumes,4,1
2016,End,E,Ambient,Woody,0,0
2016,End,E,Procedural,Bryophytes,4,1
2016,End,E,Procedural,Dead,2,0.5
2016,End,E,Procedural,Forbs,3.6,0.9
2016,End,E,Procedural,Graminoids,34.4,8.6
2016,End,E,Procedural,Legumes,4,1
2016,End,E,Procedural,Woody,0,0
2016,End,E,Drought,Bryophytes,4,1
2016,End,E,Drought,Dead,13.2,3.3
2016,End,E,Drought,Forbs,1.6,0.4
2016,End,E,Drought,Graminoids,3.2,0.8
2016,End,E,Drought,Legumes,4,1
2016,End,E,Drought,Woody,14.4,3.6
2016,End,E,Irrigated,Bryophytes,3.2,0.8
2016,End,E,Irrigated,Dead,4,1
2016,End,E,Irrigated,Forbs,2,0.5
2016,End,E,Irrigated,Graminoids,60,15
2016,End,E,Irrigated,Legumes,1.6,0.4
2016,End,E,Irrigated,Woody,0,0
2017,Mid,A,Ambient,Bryophytes,0,0
2017,Mid,A,Ambient,Dead,5.2,1.3
2017,Mid,A,Ambient,Forbs,42,10.5
2017,Mid,A,Ambient,Graminoids,157.6,39.4
2017,Mid,A,Ambient,Legumes,16,4
2017,Mid,A,Ambient,Woody,0,0
2017,Mid,A,Procedural,Bryophytes,0,0
2017,Mid,A,Procedural,Dead,3.6,0.9
2017,Mid,A,Procedural,Forbs,39.6,9.9
2017,Mid,A,Procedural,Graminoids,103.6,25.9
2017,Mid,A,Procedural,Legumes,5.6,1.4
2017,Mid,A,Procedural,Woody,0,0
2017,Mid,A,Drought,Bryophytes,4.4,1.1
2017,Mid,A,Drought,Dead,4.4,1.1
2017,Mid,A,Drought,Forbs,36.8,9.2
2017,Mid,A,Drought,Graminoids,58,14.5
2017,Mid,A,Drought,Legumes,0,0
2017,Mid,A,Drought,Woody,68.8,17.2
2017,Mid,A,Irrigated,Bryophytes,0,0
2017,Mid,A,Irrigated,Dead,10.4,2.6
2017,Mid,A,Irrigated,Forbs,41.6,10.4
2017,Mid,A,Irrigated,Graminoids,250.4,62.6
2017,Mid,A,Irrigated,Legumes,119.2,29.8
2017,Mid,A,Irrigated,Woody,16.4,4.1
2017,Mid,B,Ambient,Bryophytes,0,0
2017,Mid,B,Ambient,Dead,10.8,2.7
2017,Mid,B,Ambient,Forbs,20,5
2017,Mid,B,Ambient,Graminoids,182,45.5
2017,Mid,B,Ambient,Legumes,27.6,6.9
2017,Mid,B,Ambient,Woody,14,3.5
2017,Mid,B,Procedural,Bryophytes,0,0
2017,Mid,B,Procedural,Dead,5.2,1.3
2017,Mid,B,Procedural,Forbs,19.6,4.9
2017,Mid,B,Procedural,Graminoids,90.4,22.6
2017,Mid,B,Procedural,Legumes,88,22
2017,Mid,B,Procedural,Woody,0,0
2017,Mid,B,Drought,Bryophytes,0,0
2017,Mid,B,Drought,Dead,7.2,1.8
2017,Mid,B,Drought,Forbs,38.4,9.6
2017,Mid,B,Drought,Graminoids,44.8,11.2
2017,Mid,B,Drought,Legumes,22.4,5.6
2017,Mid,B,Drought,Woody,4.8,1.2
2017,Mid,B,Irrigated,Bryophytes,0,0
2017,Mid,B,Irrigated,Dead,0,0
2017,Mid,B,Irrigated,Forbs,26,6.5
2017,Mid,B,Irrigated,Graminoids,60,15
2017,Mid,B,Irrigated,Legumes,5.6,1.4
2017,Mid,B,Irrigated,Woody,22,5.5
2017,Mid,C,Ambient,Bryophytes,0,0
2017,Mid,C,Ambient,Dead,4,1
2017,Mid,C,Ambient,Forbs,5.6,1.4
2017,Mid,C,Ambient,Graminoids,96.8,24.2
2017,Mid,C,Ambient,Legumes,28.4,7.1
2017,Mid,C,Ambient,Woody,0,0
2017,Mid,C,Procedural,Bryophytes,0,0
2017,Mid,C,Procedural,Dead,2,0.5
2017,Mid,C,Procedural,Forbs,0,0
2017,Mid,C,Procedural,Graminoids,102.8,25.7
2017,Mid,C,Procedural,Legumes,86.8,21.7
2017,Mid,C,Procedural,Woody,0,0
2017,Mid,C,Drought,Bryophytes,0,0
2017,Mid,C,Drought,Dead,4,1
2017,Mid,C,Drought,Forbs,28.8,7.2
2017,Mid,C,Drought,Graminoids,52,13
2017,Mid,C,Drought,Legumes,128.4,32.1
2017,Mid,C,Drought,Woody,0,0
2017,Mid,C,Irrigated,Bryophytes,0,0
2017,Mid,C,Irrigated,Dead,0.8,0.2
2017,Mid,C,Irrigated,Forbs,47.6,11.9
2017,Mid,C,Irrigated,Graminoids,67.6,16.9
2017,Mid,C,Irrigated,Legumes,12.4,3.1
2017,Mid,C,Irrigated,Woody,0,0
2017,Mid,D,Ambient,Bryophytes,21.6,5.4
2017,Mid,D,Ambient,Dead,10.4,2.6
2017,Mid,D,Ambient,Forbs,59.2,14.8
2017,Mid,D,Ambient,Graminoids,180.8,45.2
2017,Mid,D,Ambient,Legumes,58.4,14.6
2017,Mid,D,Ambient,Woody,6,1.5
2017,Mid,D,Procedural,Bryophytes,0,0
2017,Mid,D,Procedural,Dead,4,1
2017,Mid,D,Procedural,Forbs,26.8,6.7
2017,Mid,D,Procedural,Graminoids,134.8,33.7
2017,Mid,D,Procedural,Legumes,20.4,5.1
2017,Mid,D,Procedural,Woody,0,0
2017,Mid,D,Drought,Bryophytes,0,0
2017,Mid,D,Drought,Dead,6,1.5
2017,Mid,D,Drought,Forbs,34.8,8.7
2017,Mid,D,Drought,Graminoids,87.6,21.9
2017,Mid,D,Drought,Legumes,4,1
2017,Mid,D,Drought,Woody,5.6,1.4
2017,Mid,D,Irrigated,Bryophytes,4,1
2017,Mid,D,Irrigated,Dead,7.2,1.8
2017,Mid,D,Irrigated,Forbs,79.6,19.9
2017,Mid,D,Irrigated,Graminoids,211.2,52.8
2017,Mid,D,Irrigated,Legumes,16.8,4.2
2017,Mid,D,Irrigated,Woody,0,0
2017,Mid,E,Ambient,Bryophytes,0,0
2017,Mid,E,Ambient,Dead,0.8,0.2
2017,Mid,E,Ambient,Forbs,44.4,11.1
2017,Mid,E,Ambient,Graminoids,86.8,21.7
2017,Mid,E,Ambient,Legumes,8,2
2017,Mid,E,Ambient,Woody,0,0
2017,Mid,E,Procedural,Bryophytes,0,0
2017,Mid,E,Procedural,Dead,1.6,0.4
2017,Mid,E,Procedural,Forbs,18.8,4.7
2017,Mid,E,Procedural,Graminoids,54,13.5
2017,Mid,E,Procedural,Legumes,62.4,15.6
2017,Mid,E,Procedural,Woody,2,0.5
2017,Mid,E,Drought,Bryophytes,0,0
2017,Mid,E,Drought,Dead,3.6,0.9
2017,Mid,E,Drought,Forbs,46,11.5
2017,Mid,E,Drought,Graminoids,58.4,14.6
2017,Mid,E,Drought,Legumes,8,2
2017,Mid,E,Drought,Woody,0,0
2017,Mid,E,Irrigated,Bryophytes,0,0
2017,Mid,E,Irrigated,Dead,3.2,0.8
2017,Mid,E,Irrigated,Forbs,12,3
2017,Mid,E,Irrigated,Graminoids,106,26.5
2017,Mid,E,Irrigated,Legumes,70.8,17.7
2017,Mid,E,Irrigated,Woody,0,0
2017,End,A,Ambient,Bryophytes,52,13
2017,End,A,Ambient,Dead,0.92,0.23
2017,End,A,Ambient,Forbs,18.8,4.7
2017,End,A,Ambient,Graminoids,45.72,11.43
2017,End,A,Ambient,Legumes,28.72,7.18
2017,End,A,Ambient,Woody,0,0
2017,End,A,Procedural,Bryophytes,4,1
2017,End,A,Procedural,Dead,11.72,2.93
2017,End,A,Procedural,Forbs,4.96,1.24
2017,End,A,Procedural,Graminoids,54.68,13.67
2017,End,A,Procedural,Legumes,9.96,2.49
2017,End,A,Procedural,Woody,0,0
2017,End,A,Drought,Bryophytes,0,0
2017,End,A,Drought,Dead,2.12,0.53
2017,End,A,Drought,Forbs,6.08,1.52
2017,End,A,Drought,Graminoids,18.12,4.53
2017,End,A,Drought,Legumes,0.24,0.06
2017,End,A,Drought,Woody,0,0
2017,End,A,Irrigated,Bryophytes,0.04,0.01
2017,End,A,Irrigated,Dead,8.04,2.01
2017,End,A,Irrigated,Forbs,3.44,0.86
2017,End,A,Irrigated,Graminoids,119.64,29.91
2017,End,A,Irrigated,Legumes,25.88,6.47
2017,End,A,Irrigated,Woody,0,0
2017,End,B,Ambient,Bryophytes,0,0
2017,End,B,Ambient,Dead,6.8,1.7
2017,End,B,Ambient,Forbs,11.24,2.81
2017,End,B,Ambient,Graminoids,61.68,15.42
2017,End,B,Ambient,Legumes,29.64,7.41
2017,End,B,Ambient,Woody,0,0
2017,End,B,Procedural,Bryophytes,0,0
2017,End,B,Procedural,Dead,19.32,4.83
2017,End,B,Procedural,Forbs,8.08,2.02
2017,End,B,Procedural,Graminoids,99,24.75
2017,End,B,Procedural,Legumes,35.28,8.82
2017,End,B,Procedural,Woody,0,0
2017,End,B,Drought,Bryophytes,0,0
2017,End,B,Drought,Dead,3.56,0.89
2017,End,B,Drought,Forbs,9.6,2.4
2017,End,B,Drought,Graminoids,17.76,4.44
2017,End,B,Drought,Legumes,1.6,0.4
2017,End,B,Drought,Woody,0,0
2017,End,B,Irrigated,Bryophytes,2.96,0.74
2017,End,B,Irrigated,Dead,5.92,1.48
2017,End,B,Irrigated,Forbs,1.92,0.48
2017,End,B,Irrigated,Graminoids,96.68,24.17
2017,End,B,Irrigated,Legumes,8.04,2.01
2017,End,B,Irrigated,Woody,0,0
2017,End,C,Ambient,Bryophytes,0.24,0.06
2017,End,C,Ambient,Dead,0,0
2017,End,C,Ambient,Forbs,4.2,1.05
2017,End,C,Ambient,Graminoids,66.68,16.67
2017,End,C,Ambient,Legumes,18.04,4.51
2017,End,C,Ambient,Woody,0,0
2017,End,C,Procedural,Bryophytes,0.12,0.03
2017,End,C,Procedural,Dead,12.68,3.17
2017,End,C,Procedural,Forbs,0.32,0.08
2017,End,C,Procedural,Graminoids,59.8,14.95
2017,End,C,Procedural,Legumes,14.4,3.6
2017,End,C,Procedural,Woody,0,0
2017,End,C,Drought,Bryophytes,0.32,0.08
2017,End,C,Drought,Dead,1.96,0.49
2017,End,C,Drought,Forbs,2.6,0.65
2017,End,C,Drought,Graminoids,3.2,0.8
2017,End,C,Drought,Legumes,0,0
2017,End,C,Drought,Woody,0,0
2017,End,C,Irrigated,Bryophytes,4,1
2017,End,C,Irrigated,Dead,8.64,2.16
2017,End,C,Irrigated,Forbs,9.12,2.28
2017,End,C,Irrigated,Graminoids,26.2,6.55
2017,End,C,Irrigated,Legumes,11.44,2.86
2017,End,C,Irrigated,Woody,4,1
2017,End,D,Ambient,Bryophytes,56,14
2017,End,D,Ambient,Dead,9.64,2.41
2017,End,D,Ambient,Forbs,12.72,3.18
2017,End,D,Ambient,Graminoids,76.32,19.08
2017,End,D,Ambient,Legumes,30.72,7.68
2017,End,D,Ambient,Woody,0,0
2017,End,D,Procedural,Bryophytes,4,1
2017,End,D,Procedural,Dead,7.6,1.9
2017,End,D,Procedural,Forbs,4.72,1.18
2017,End,D,Procedural,Graminoids,44.48,11.12
2017,End,D,Procedural,Legumes,1.6,0.4
2017,End,D,Procedural,Woody,0,0
2017,End,D,Drought,Bryophytes,4,1
2017,End,D,Drought,Dead,3.28,0.82
2017,End,D,Drought,Forbs,2.56,0.64
2017,End,D,Drought,Graminoids,13,3.25
2017,End,D,Drought,Legumes,0.2,0.05
2017,End,D,Drought,Woody,0,0
2017,End,D,Irrigated,Bryophytes,1.64,0.41
2017,End,D,Irrigated,Dead,13.8,3.45
2017,End,D,Irrigated,Forbs,16.76,4.19
2017,End,D,Irrigated,Graminoids,74,18.5
2017,End,D,Irrigated,Legumes,18.48,4.62
2017,End,D,Irrigated,Woody,0,0
2017,End,E,Ambient,Bryophytes,0,0
2017,End,E,Ambient,Dead,0,0
2017,End,E,Ambient,Forbs,19.68,4.92
2017,End,E,Ambient,Graminoids,85.32,21.33
2017,End,E,Ambient,Legumes,23.36,5.84
2017,End,E,Ambient,Woody,0,0
2017,End,E,Procedural,Bryophytes,0,0
2017,End,E,Procedural,Dead,5.52,1.38
2017,End,E,Procedural,Forbs,2.76,0.69
2017,End,E,Procedural,Graminoids,23.88,5.97
2017,End,E,Procedural,Legumes,1.84,0.46
2017,End,E,Procedural,Woody,0,0
2017,End,E,Drought,Bryophytes,0,0
2017,End,E,Drought,Dead,13.84,3.46
2017,End,E,Drought,Forbs,47.2,11.8
2017,End,E,Drought,Graminoids,17.48,4.37
2017,End,E,Drought,Legumes,1,0.25
2017,End,E,Drought,Woody,64,16
2017,End,E,Irrigated,Bryophytes,0.36,0.09
2017,End,E,Irrigated,Dead,9.12,2.28
2017,End,E,Irrigated,Forbs,2.08,0.52
2017,End,E,Irrigated,Graminoids,46.96,11.74
2017,End,E,Irrigated,Legumes,2.84,0.71
2017,End,E,Irrigated,Woody,0,0
2018,Mid,A,Ambient,Bryophytes,4,1
2018,Mid,A,Ambient,Dead,14.8,3.7
2018,Mid,A,Ambient,Forbs,71.6,17.9
2018,Mid,A,Ambient,Graminoids,227.6,56.9
2018,Mid,A,Ambient,Legumes,71.2,17.8
2018,Mid,A,Ambient,Woody,0,0
2018,Mid,A,Procedural,Bryophytes,4,1
2018,Mid,A,Procedural,Dead,24,6
2018,Mid,A,Procedural,Forbs,130,32.5
2018,Mid,A,Procedural,Graminoids,169.6,42.4
2018,Mid,A,Procedural,Legumes,103.2,25.8
2018,Mid,A,Procedural,Woody,0,0
2018,Mid,A,Drought,Bryophytes,0,0
2018,Mid,A,Drought,Dead,8,2
2018,Mid,A,Drought,Forbs,8.8,2.2
2018,Mid,A,Drought,Graminoids,58.4,14.6
2018,Mid,A,Drought,Legumes,4,1
2018,Mid,A,Drought,Woody,0,0
2018,Mid,A,Irrigated,Bryophytes,4,1
2018,Mid,A,Irrigated,Dead,30.4,7.6
2018,Mid,A,Irrigated,Forbs,49.6,12.4
2018,Mid,A,Irrigated,Graminoids,248.4,62.1
2018,Mid,A,Irrigated,Legumes,49.2,12.3
2018,Mid,A,Irrigated,Woody,0,0
2018,Mid,B,Ambient,Bryophytes,1.2,0.3
2018,Mid,B,Ambient,Dead,48.8,12.2
2018,Mid,B,Ambient,Forbs,39.2,9.8
2018,Mid,B,Ambient,Graminoids,211.6,52.9
2018,Mid,B,Ambient,Legumes,139.6,34.9
2018,Mid,B,Ambient,Woody,5.6,1.4
2018,Mid,B,Procedural,Bryophytes,2.4,0.6
2018,Mid,B,Procedural,Dead,43.6,10.9
2018,Mid,B,Procedural,Forbs,46.8,11.7
2018,Mid,B,Procedural,Graminoids,206,51.5
2018,Mid,B,Procedural,Legumes,130.4,32.6
2018,Mid,B,Procedural,Legumes,246,61.5
2018,Mid,B,Procedural,Woody,0,0
2018,Mid,B,Drought,Bryophytes,0,0
2018,Mid,B,Drought,Dead,12.8,3.2
2018,Mid,B,Drought,Forbs,192.4,48.1
2018,Mid,B,Drought,Graminoids,189.2,47.3
2018,Mid,B,Drought,Legumes,78.8,19.7
2018,Mid,B,Drought,Woody,0.8,0.2
2018,Mid,B,Irrigated,Bryophytes,6.8,1.7
2018,Mid,B,Irrigated,Dead,34.4,8.6
2018,Mid,B,Irrigated,Forbs,37.2,9.3
2018,Mid,B,Irrigated,Graminoids,153.2,38.3
2018,Mid,B,Irrigated,Legumes,74.4,18.6
2018,Mid,B,Irrigated,Woody,0,0
2018,Mid,C,Ambient,Bryophytes,38.4,9.6
2018,Mid,C,Ambient,Dead,50.4,12.6
2018,Mid,C,Ambient,Forbs,10.4,2.6
2018,Mid,C,Ambient,Graminoids,176.8,44.2
2018,Mid,C,Ambient,Legumes,112.4,28.1
2018,Mid,C,Ambient,Woody,0,0
2018,Mid,C,Procedural,Bryophytes,20.4,5.1
2018,Mid,C,Procedural,Dead,45.6,11.4
2018,Mid,C,Procedural,Forbs,5.6,1.4
2018,Mid,C,Procedural,Graminoids,259.6,64.9
2018,Mid,C,Procedural,Woody,4,1
2018,Mid,C,Drought,Bryophytes,4,1
2018,Mid,C,Drought,Dead,24.4,6.1
2018,Mid,C,Drought,Forbs,66,16.5
2018,Mid,C,Drought,Graminoids,63.2,15.8
2018,Mid,C,Drought,Legumes,190.4,47.6
2018,Mid,C,Drought,Woody,12.4,3.1
2018,Mid,C,Irrigated,Bryophytes,4,1
2018,Mid,C,Irrigated,Dead,36.8,9.2
2018,Mid,C,Irrigated,Forbs,84,21
2018,Mid,C,Irrigated,Graminoids,174.8,43.7
2018,Mid,C,Irrigated,Legumes,116.8,29.2
2018,Mid,C,Irrigated,Woody,0,0
2018,Mid,D,Ambient,Bryophytes,12,3
2018,Mid,D,Ambient,Dead,17.2,4.3
2018,Mid,D,Ambient,Forbs,28,7
2018,Mid,D,Ambient,Graminoids,225.2,56.3
2018,Mid,D,Ambient,Legumes,75.6,18.9
2018,Mid,D,Ambient,Woody,0,0
2018,Mid,D,Procedural,Bryophytes,7.6,1.9
2018,Mid,D,Procedural,Dead,32.8,8.2
